,headline,article_text,source,bias,cleaned_text,compound,positive,neutral,negative
0,"Minister's Son Arrested In Farmers' Killing Has Dengue, Taken To Hospital","Lucknow: Union Minister Ajay Mishra's son, Ashish Mishra, arrested for his alleged role in the Lakhimpur Kheri violence in Uttar Pradesh, is dengue positive and is being moved to the district hospital for treatment.Ashish Mishra, who was remanded in police custody on Friday, was moved to the Lakhimpur jail late last night after test results confirmed that he had contracted dengue. He will be treated by a panel of doctors. ""Ashish Mishra is being shifted to district hospital. He has tested positive for dengue. Also, he has diabetes,"" said Shailendra Bhatnagar, CMO, Lakhimpur Kheri.Four farmers and a journalist were run over on October 3 by a convoy of three vehicles, one of which belongs to Union Minister of state for home, Ajay Mishra. The minister's son was arrested on October 9, five days after he was named in the murder related to the incident on charges which usually merit immediate arrest.The families of farmers who died alleged in their complaint to the police that the minster's son was in the driving seat of the SUV that crushed the farmers. His arrest followed 12 hours of police questioning which in turn came after an intervention by the Supreme Court.Thirteen people, including Ashish Mishra, have so far been arrested in connection with the incident.PromotedListen to the latest songs, only on JioSaavn.comAshish Mishra has denied the charge that he was at the crime scene when the murders took place; he has claimed he was in his paternal village (around two km away) and stayed there all day.After his arrest on October 9, Ashish Mishra was first remanded to police custody on October 11 with the remand period starting on October 12 and ending on October 15. After the expiry of his first remand period, he was sent back to the Lakhimpur Jail under judicial custody.",ndtv,L,,,,,
1,"3 More Arrested In UP's Lakhimpur Kheri Violence Case, 13 So Far","The SIT constituted by the state police is probing the case. (File)Lakhimpur Kheri (UP): Three more arrests were made on Saturday in connection with the Tikonia violence which had left eight people, including four farmers, dead during a protest by farmers on October 3, officials said Saturday.This takes to 13 the total number of arrests made so far, also including Union minister Ajay Mishra's son Ashish, in connection with the violence.A senior police officer identified those arrested Saturday as Mohit Trivedi of Singahi town, Ranku Rana of Barsola Kalan and Dharmendra of Chimma Tanda both under Tikonia kotwali limits.The arrests were made after their names emerged during the interrogation of other accused in police custody, the officer added.All the three accused would be produced in the court later in the day and the investigators would request for their 14 days police remand for further interrogation,he said.Ashish was arrested on October 9 and is presently in police custody.The nine other arrested accused include BJP ward member Sumit Jaiswal, Ankit Das, Latif alias Kale, Shekhar Bharti, Shishu Pal, Satya Prakash Tripathi alias Satyam, Nandan Singh Bisht, Ashish Pandey and Lavkush Rana.Barring Ashish Pandey and Lavkush Rana, all other seven are in police custody for interrogation.An FIR was lodged at the Tikonia police station on October 3.The next day, a counter-FIR was lodged at the same police station on the basis of a complaint by Sumit Jaiswal, who has now been arrested.PromotedListen to the latest songs, only on JioSaavn.comThe SIT constituted by the state police is probing the case.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
2,"""Need To Rethink Policy"": Varun Gandhi On Video Of UP Farmer Burning Crop","Varun Gandhi is the BJP's Lok Sabha MP from Uttar Pradesh's Pilibhit seat (File)New Delhi: MP Varun Gandhi - dumped from the BJP's National Executive after speaking on behalf of farmers protesting the new laws and calling for justice for those killed in UP's Lakhimpur Kheri - has called for a ""rethink"" of the country's agriculture policies.The Lok Sabha MP from UP's Pilibhit tweeted a video of a farmer from Lakhimpur who said he had been forced to burn his paddy crop because it had remained unsold for 15 days.""A farmer from Uttar Pradesh - Samodh Singh - was going from mandi (wholesale market) to mandi for 15 days trying to sell his crop. After failing to do so, in desperation, he burned his entire crop,"" Mr Gandhi wrote as he shared the video.The video shows a man - presumably Mr Singh - throwing kerosene on his crop and, despite some trying to hold him back, he sets fire to the whole thing.""What has this system reduced farmers to? We need to rethink our agriculture policy,"" Mr Gandhi, who is the only BJP leader, so far, to speak up on the Lakhimpur Kheri deaths, for which Ashish Mishra, the son of Union Minister Ajay Mishra, is an accused and is in jail.उत्तर प्रदेश के किसान श्री समोध सिंह पिछले 15 दिनों से अपनी धान की फसल को बेचने के लिए मंडियों में मारे-मारे फिर रहे थे, जब धान बिका नहीं तो निराश होकर इसमें स्वयं आग लगा दी।इस व्यवस्था ने किसानों को कहाँ लाकर खड़ा कर दिया है? कृषि नीति पर पुनर्चिंतन आज की सबसे बड़ी ज़रूरत है। pic.twitter.com/z3EjYw9rIz— Varun Gandhi (@varungandhi80) October 23, 2021The BJP MP has been particularly critical of his party in UP; on Thursday he tweeted photos of floods in the state's Terai region and slammed the Yogi Adityanath administration.""Much of the Terai is flooded. Donating dry rations by hand so no family is hungry till this calamity ends. It is painful that when the common man needs the system the most, he is left to fend for himself. If every response is individual-led then what does 'governance' mean?""Much of the Terai is badly flooded. Donating dry rations by hand so that no family is hungry till this calamity ends. It's painful that when the common man needs the system the most,he's left to fend for himself.If every response is individual-led then what does ‘governance' mean pic.twitter.com/P2wF7Tb431— Varun Gandhi (@varungandhi80) October 21, 2021Uttar Pradesh votes for a new Assembly and government next year, with the BJP eager to retain control of the politically key state ahead of general elections in 2024.Mr Gandhi last week tweeted another video - of Atal Bihari Vajpayee, in which the late former Prime Minister warns the government against intimidating farmers. The video is reportedly from 1980 and Mr Vajpayee is cautioning the then Indira Gandhi government against repressing farmers.  ""... warn the government against intimidating farmers. Don't try to scare us... Farmers are not going to be scared. We don't want to use farmers' movement for politics..."" Mr Vajpayee says in the video.""Wise words from a big-hearted leader,"" Mr Gandhi commented.Wise words from a big-hearted leader… pic.twitter.com/xlRtznjFAx— Varun Gandhi (@varungandhi80) October 14, 2021Mr Gandhi has also tweeted videos of farmers being run over in Lakhmipur, tagging it ""murder"" and saying that the video was enough to ""shake the soul"".PromotedListen to the latest songs, only on JioSaavn.comThe farmers' months-long protest against the centre's new farm laws has formed the backdrop for a series of hostile clashes between the ruling BJP and the opposition, including a fierce stand-off in Parliament that included physical confrontations in the final week.The protests have also included violent clashes between farmers and police in various states, most notably BJP-ruled Haryana. The violence has left dozens injured on both sides and drawn scathing criticism from the opposition, which has accused the centre of using brutal force against farmers.",ndtv,L,,,,,
3,"""Collective Wisdom..."": Yogendra Yadav After Farmers' Front Suspends Him","Yogendra Yadav visited the family of BJP leader Shubham Mishra, who was killed in the violenceCollective wisdom must prevail over individual understanding in any public movement, activist Yogendra Yadav said on Friday as he accepted the Samyukt Kisan Morcha's decision to suspend him for a month after he visited the family of a BJP worker killed in the violence at Lakhimpur Kheri.Mr Yadav has been barred from attending the meetings of the Morcha -- a conglomerate of 46 farmers' unions protesting against the centre's new farm laws -- and being a part of the front's decision-making for a month.In a statement he shared on Twitter, Mr Yadav has said he respects the Morcha's collective decision-making process and accepts the punishment handed out to him.I respect the decision taken by SKM & gladly submit myself to the punishment awarded.Farmer Movement has emerged as a beacon of hope for India. Maintaining unity of this historic movement & its collective decision-making process is the foremost need of the hour.My Statement: pic.twitter.com/d6uFbDF7eh— Yogendra Yadav (@_YogendraYadav) October 22, 2021He added that the farmers' protest has emerged as a ray of hope for the country and it is the need of the hour to maintain its unity and decision-making process.Explaining his decision to visit the family of BJP leader Shubham Mishra, who was killed in the Lakhimpur Kheri violence, Mr Yadav has said ""sharing the grief the everyone, including our adversaries, draws upon humanitarianism as well as Indian culture"".""As a policy, I have believed that expressing such sentiments do not weaken but actually strengthen any mass movement. Naturally, not everyone in the movement shares this understanding. I do hope that the present occasion triggers a constructive dialogue on this delicate issue,"" Mr Yadav said in his statement.Stating that collective wisdom must prevail over individual understanding in any public movement like the farmers' protest, he said he regrets ""not consulting my colleagues in SKM"" before deciding to visit the BJP worker's family.Signing off, Mr Yadav said he accepts the punishment awarded to him and will continue to work, ""more diligently than ever, for the success of this historic farmers' movement"".Mr Yadav was suspended after several farmer organisations demanded action against him. Manjit Singh Rai, president of Bhartiya Kisan Union, Doaba, told NDTV yesterday that 32 farmers' unions are on the same page on the issue and they also want a public apology from Mr Yadav.Four farmers were run over in Lakhimpur Kheri, allegedly by Ashish Mishra, the son of Union minister Ajay Mishra, during a protest earlier this month. Violence and arson broke out soon after, in which four others were killed.Ashish Mishra was arrested on October 9, five days after he was named in a murder case. Four more people have been arrested in connection with the case.PromotedListen to the latest songs, only on JioSaavn.com",ndtv,L,,,,,
4,Lakhimpur Kheri Case: Union Minister's Son Remanded In Police Custody Again,"Lakhimpur Kheri: Union Minister of State for Home Ajay Mishra's son Ashish Mishra, arrested for his alleged role in the Lakhimpur Kheri violence, was on Friday remanded in police custody for two days.It was for the second time that he was remanded in police custody by Lakhimpur Kheri's Chief Judicial Magistrate Chinta Ram.Besides Mr Mishra, CJM Ram also sent three other accused in the case -- Ankit Das, Shekhar Bharti and Latif - to police custody, acceding the prosecution's request for their police remand.The two-day police remand for the four, starting from 5 PM on Friday, will end at the same time on Sunday.After his arrest on October 9, the son of Union MoS (Home) was first remanded to police custody on October 11 with the remand period starting on October 12 and ending on October 15.PromotedListen to the latest songs, only on JioSaavn.comAfter the expiry of his first remand period, he was sent back to the Lakhimpur Jail under judicial custody.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
5,"On UP Minister's Petrol Remark, Akhilesh Yadav's 'Lakhimpur Kheri' Dig","Samajwadi Party chief Akhilesh Yadav slammed BJP over UP minister's comment on diesel costs. (File)Lucknow: Taking a potshot at Uttar Pradesh minister Upendra Tiwari over his remark that 95 per cent of people do not need petrol and diesel, Samajwadi Party president Akhilesh Yadav today said the truth is that those people do not need the BJP.Mr Tiwari had on Thursday said that prices of petrol and diesel were not increased much considering per capita income and added that 95 per cent of people do not need them.""The BJP minister of Uttar Pradesh said that expensive petrol does not bother the general public because 95 per cent of the people do not need petrol. Now, even the minister will not need it as the people will make him ''paidal'' (out of power). The truth is that 95 per cent of the people do not need the BJP,"" Mr Yadav said in a tweet in Hindi.उप्र के भाजपाई मंत्री जी ने कहा कि महँगे पेट्रोल से आम जनता को फ़र्क़ नहीं पड़ता क्योंकि 95% जनता को पेट्रोल की ज़रूरत नहीं है। अब मंत्री जी को भी नहीं पड़ेगी क्योंकि जनता उनको पैदल कर देगी। सच्चाई तो ये है कि 95% जनता को भाजपा की ज़रूरत नहीं है।‘थार' में तो डीज़ल पड़ता है ना?— Akhilesh Yadav (@yadavakhilesh) October 22, 2021The Samajwadi Party president also asked, ""Does Thar need diesel?"", referring to the recent Lakhimpur Kheri incident where four farmers were allegedly mowed down by a jeep (Mahindra Thar) driven by BJP workers.While talking to reporters in Jalaun when asked about rising prices of petrol and diesel, Mr Tiwari had said, ""Today, there are just a handful of people who travel in four-wheel vehicles and use petrol. At present, 95 per cent people don't need petrol.""PromotedListen to the latest songs, only on JioSaavn.com""If you compare with per capita income, the prices of petrol and diesel have not increased much. Today, the opposition parties have no issues with them. You see data before 2014. What is the per capita income after the formation of the Modi and the Adityanath governments? Today, per capita income has doubled,"" he had said. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
6,Farmers Suspend Yogendra Yadav For Meeting Family Of BJP Man Killed In UP,"Yogendra Yadav said he visited BJP worker's family since ""he felt he should"", sources said (File)New Delhi: The Samyukt Kisan Morcha - a conglomerate of 46 farmers' unions - has suspended activist Yogendra Yadav for a month after he visited the family of a BJP worker who was killed in the violence at Lakhimpur Kheri earlier this month. Mr Yadav, who is a member of the umbrella body, will not be able to participate in any of its meetings or be part of the decision-making process.Sources said action was taken at a meeting today after demands of action by farmers' organisations in Punjab. Manjit Singh Rai, the President of Bhartiya Kisan Union, Doaba, told NDTV that 32 farmers' unions are on the same page on the issue and they also want a public apology from Mr Yadav.Sources close to Mr Yadav said he had gone to visit the BJP worker's family last week as ""he felt he should"".""He said (at the meeting) that he was not sorry that he went to visit the family, but is ready to apologise for not discussing the issue with the farmers' body beforehand,"" the sources said.Four farmers were run over in Lakhimpur Kheri, allegedly by Ashish Mishra, the son of Union minister Ajay Mishra during a protest earlier this month. Violence and arson broke out soon after, in which four others were killed.Ashish Mishra was arrested on October 9, five days after he was named in a murder case.Four more people, including a BJP leader who was seen inside the SUV that mowed down protesting farmers in Lakhimpur Kheri, have been arrested. Among them is Local BJP leader Sumit Jaiswal, who was seen in a viral video escaping from the lead SUV in the convoy of vehicles that crushed the farmers.Sumit Jaiswal had filed a complaint with the police earlier, claiming that their vehicles lost control due to stone-pelting by farmers and accidentally hit them. His driver, friend, and two BJP workers were beaten to death later, he said in the complaint.Ajay Mishra - who is the junior home minister at the Centre - and his son have denied that they were present at the spot, though the minister told NDTV that the SUV belonged to his family.PromotedListen to the latest songs, only on JioSaavn.comThe farmers and the opposition have demanded that the minister step down and action be taken against those responsible.The matter has reached the Supreme Court, which has asked the Uttar Pradesh government not to ""drag its feet"" and protect and record the statement of all witnesses. ""This should not be an unending story,"" the top court has said.",ndtv,L,,,,,
7,"Priyanka Gandhi Visits Home Of UP Man Who Died In Custody, Promises Help","New Delhi: Congress leader Priyanka Gandhi Vadra on Wednesday met the family of a man who died while in the custody of Uttar Pradesh Police in Agra and promised them all help in their fight for justice.She said that Arun Valmiki's relatives told her that the entire family was tortured. She said they told her that Valmiki was given electric shocks and his hands were crushed under chair by the police. Besides, around 40 members of the Valmiki community were also arrested and tortured, she claimed.She also announced Rs 30 lakh financial assistance and legal help for Valmiki's family.Ms Gandhi Vadra had been allowed to proceed along with four others after being detained by the cops earlier - for a second time in less than a month.Her car had been stopped at the first toll plaza on the Lucknow-Agra Expressway.""If I'm at home, ok. If I go to my office, ok. But the moment I go elsewhere, then they start this tamasha. Why? Eventually I will meet the family. This is becoming ridiculous... people are being affected. Look at the traffic (behind her stopped convoy),"" she said shortly before she was taken into detention.Ms Gandhi Vadra also underlined her constitutional right to free movement in the country, and made it clear she is determined - as soon as she is released - to visit the man's family.Earlier she tweeted asking ""what is the UP government so afraid of?""""Arun Valmiki died in police custody. His family is seeking justice. I want to visit that family. What is the UP government afraid of? Why am I being stopped? Today is Lord Valmiki Jayanti... PM Modi spoke big on Buddha but this is attacking his message,"" she wrote in Hindi.UP Police told Ms Gandhi Vadra she had been stopped per an order issued by the Agra District Magistrate, which cited potential law and order issues to stop political leaders from visiting the city.Chaotic visuals from the scene showed Ms Gandhi Vadra surrounded by a sea of people, including policemen, as she tried to make her way past the blockade. Another visual showed a burly UP cop standing in front of her vehicle, with both hands placed firmly on the hood.Priyanka Gandhi Vadra's car was stopped at the first toll plaza on the Lucknow-Agra ExpresswayIn a video of the conversation between the Congress leader and the police, she can be heard asking: ""Wherever I go... I have to ask for permission?"", to which the officer says it is a ""law and order issue"".""What is the issue? Someone has died... what is the law and order..."" she replies.There were also some more pleasant visuals with Ms Gandhi Vadra posing for selfies with a few women police officers - all as party workers can be heard chanting and shouting in the background. Priyanka Gandhi Vadra stops for selfies with female UP police officersEarlier today UP Police said Arun Valmiki died after his health deteriorated during interrogation.Senior Superintendent of Police (SSP) Agra Muniraj G said he fell sick Tuesday night while a raid was being carried out at his house. He was then taken to a hospital but doctors declared him dead, he said.Arun was accused of stealing the money from a building that served as the police station's evidence warehouse, and where he worked as a cleaner.A post-mortem was carried out on his body, which has now been handed over to the family.Priyanka Gandhi Vadra was detained by UP cops earlier this month while on her way to visit the families of farmers killed in Lakhimpur. She had alleged she was being illegally held. UP police said the case against Ms Gandhi Vadra related to preventive detention due to apprehension of breach of peace.Her brother, party MP Rahul Gandhi, was also stopped from visiting the families.PromotedListen to the latest songs, only on JioSaavn.comEventually the UP government relented and allowed opposition parties, including Ms Gandhi Vadra and Mr Gandhi to visit the families.With input from PTI",ndtv,L,,,,,
8,10 Missing After Boat Capsizes In River Near UP's Lakhimpur Kheri,"More details are awaited. (Representational)Lakhimpur Kheri (Uttar Pradesh): A boat carrying several people capsized in the Ghaghara river near Mirzapur village of Uttar Pradesh's Lakhimpur Kheri district on Wednesday.PromotedListen to the latest songs, only on JioSaavn.comA local police official who witnessed the incident said, ""10 people went missing after a boat capsized in Ghaghara river. Officers were present on the spot. Divers are searching for missing persons.""More details are awaited.",ndtv,L,,,,,
9,"""Waited Till 1 AM"": Supreme Court's Top Quotes On UP Violence","Lakhimpur Kheri Violence: The court was unhappy today over UP government submitting its reportNew Delhi: 

																								The Supreme Court today pulled up the Uttar Pradesh government for the delay in submission of a report on the Lakhimpur violence in which eight people, including four farmers, were killed. Union Minister Ajay Mishra's son is an accused in the case. 										Here are the top 5 quotes of the top court in the case:""We waited till 1 am last night that we will get material. How can we read if it gets filed last minute! Atleast file it a day before.""You have recorded statements of only 4 witnesses so far out of 44. Why not more?""""How many accused are in police custody and how many are in Judicial custody? Because unless police is questioning them we will not get more on the issue.""""This should not be an unending story.""""Please tell them to record statements of witnesses and protection of witnesses is also important."" Comments ",ndtv,L,,,,,
