,headline,article_text,source,bias,cleaned_text,compound,positive,neutral,negative
0,"Rs 2,184 Crore Spent In Security Expenditure On J&K Police In 3 Years","The Ministry of Home Affairs (MHA) has spent Rs 2,814 crore in the last three years on security-related expenditures on the police of Jammu & Kashmir.",ndtv,L,,,,,
1,Fire Services Recruitment Under Scanner In Jammu And Kashmir,Recruitment of 800 firemen in Jammu and Kashmir has come under scanner following allegations of massive corruption in the selection process.,ndtv,L,,,,,
2,"""BJP Lacks Courage"": Omar Abdullah On Holding Polls In Jammu And Kashmir",National Conference vice-president Omar Abdullah today said his party will not beg the Centre for assembly elections in Jammu and Kashmir.,ndtv,L,,,,,
3,"""Why Didn't He Act?"": Jammu and Kashmir Congress Chief Slams GN Azad",Jammu and Kashmir Congress President Vikar Rasool hit out at former Congress leader Ghulam Nabi Azad for fabricating allegations against the Congress party.,ndtv,L,,,,,
4,"Ahead Of Jammu And Kashmir Polls, Omar Abdullah's Big ""Repeal"" Promise","""They (Centre) have only kept those (old) laws here which can be used to harass the people,"" says former chief minister",ndtv,L,,,,,
5,"Islamic Nations' Group Has ""Already Lost Credibility"": India On PoK Visit",India on Tuesday strongly condemned the visit of the secretary general of the Organisation of Islamic Cooperation (OIC) to Pakistan occupied Kashmir (PoK) and for his comments on Jammu and Kashmir.,ndtv,L,,,,,
6,"""Another Surveillance Tool"": Mehbooba Mufti On Unique Family ID","PDP president Mehbooba Mufti on Monday said the Jammu and Kashmir administration's plan to create a 'unique family ID' for residents of the Union Territory was emblematic of the widening ""trust deficit"" after the 2019 abrogation of Article 370.",ndtv,L,,,,,
7,"Ahead Of Bharat Jodo Yatra's Jammu And Kashmir Leg, Security In This District Reviewed","As the Rahul Gandhi-led Bharat Jodo Yatra is scheduled to reach Jammu and Kashmir next month, a senior police officer on Sunday reviewed the overall security situation in Kathua the gateway district to the Union Territory bordering Punjab.",ndtv,L,,,,,
8,Jammu And Kashmir's Unique Family ID Move Raises Concerns Over Data Privacy,The Jammu and Kashmir administration is planning to create an authentic database of all families in the Union territory with each of them having a unique alpha-numeric code.,ndtv,L,,,,,
9,"Jammu Region Free Of Terror, Says Police Chief","""We are more proactive than what is required. Police and security forces are jointly working to defeat every conspiracy by Pakistani agencies,"" says police chief",ndtv,L,,,,,
10,"Around 87 Lakh Pilgrims Visited Jammu's Vaishno Devi Shrine In 2022, Highest In 9 Years",Nearly 87 lakh pilgrims have paid their obeisance at the famous Mata Vaishno Devi Shrine atop Trikuta hills in Reasi district of Jammu and Kashmir so far this year.,ndtv,L,,,,,
11,Bulldozer Razes Pak-Based Terrorist's House In Kashmir's Pulwama,"In a first bulldozer action against terrorists in Jammu and Kashmir, the authorities have demolished the house of a terrorist in Pulwama.",ndtv,L,,,,,
12,Chargesheet Filed Against Terrorist Under Terror Law In Jammu And Kashmir,"Jammu and Kashmir Police on Friday filed a chargesheet against a Lashkar-e-Taiba terrorist, in a case related to the Unlawful Activities (Prevention) Act.",ndtv,L,,,,,
